THBL,JALAN,TOTAL_PAKAI,TOTAL_RP,JUMLAH_PELANGGAN,HARGA_PER_M3,Latitude,Longitude
202403,ITS.TEKNIK INDUSTRI,69,442000,1,6405.797101449275,-7.2902398,112.7932773
202403,KEJAWAN,47,63400,1,1348.936170212766,-7.2774223,112.8057704
202403,KEJAWAN GEBANG,10333,30596000,278,2960.9987418949,-7.2852358,112.8006448
202403,KEJAWAN PUTIH TAMBAK,592,1672050,20,2824.4087837837837,-7.2717595,112.8160468
202403,KEPUTIH,107,1157500,3,10817.757009345794,-7.2896546,112.7805282
202403,KEPUTIH TEGAL,19,167200,1,8800.0,-7.2913962,112.8033252
202403,KEPUTIH UTARA,33,139800,1,4236.363636363636,-7.287331,112.7990127
202403,KERTAJAYA INDAH,987,10041500,9,10173.758865248226,-7.2792852,112.7798359
202403,KERTAJAYA INDAH  REGENCY,822,5191000,20,6315.085158150851,-7.289729,112.7871392
202403,KERTAJAYA INDAH REGENCY,4302,26627000,155,6189.4467689446765,-7.289729,112.7871392
202403,KERTAJAYA INDAH TIMUR,26856,196855800,691,7330.049151027703,-7.2792852,112.7798359
202403,KLAMPIS SACHAROSA,2017,12518400,67,6206.445215666832,-7.2875191,112.7813849
202403,MANYAR KERTOADI,17363,116386700,593,6703.144617865576,-7.2847747,112.7834925
202403,MARINA EMAS,1535,9324100,87,6074.332247557003,-7.2889554,112.802558
202403,MARINA EMAS BARAT,6391,36367900,215,5690.486621811923,-7.2930141,112.8035565
202403,MARINA EMAS SELATAN,1078,6481100,43,6012.152133580705,-7.2893059,112.8029472
202403,MARINA EMAS TENGAH,70,426000,6,6085.714285714285,-7.2940982,112.8051135
202403,MARINA EMAS TIMUR,4755,24722300,196,5199.221871713985,-7.2940982,112.8051135
202403,MARINA EMAS UTARA,1181,5466900,54,4629.043183742591,-7.281512,112.802871
202403,MULYOREJO BARU TEGAL,6519,29313100,165,4496.563890167204,-7.2750916,112.7936262
202403,MULYOSARI UTARA,7,39000,1,5571.428571428572,-7.2619975,112.7977758
202403,PERUM ITS,183,856600,4,4680.87431693989,-7.281111,112.794611
202403,RAYA ITS,1106,9755200,3,8820.253164556962,-7.2757378,112.7927519
202403,RODAH,332,1866200,8,5621.084337349397,-7.279833,112.796322
202403,RODAH BUNTU,196,720400,3,3675.5102040816328,-7.279833,112.796322
202403,RODAH GEBANG,44,54400,1,1236.3636363636363,-7.279833,112.796322
202403,RODAH GEBANG PUTIH,68,132300,4,1945.5882352941176,-7.279833,112.796322
