THBL,JALAN,TOTAL_PAKAI,TOTAL_RP,JUMLAH_PELANGGAN,Latitude,Longitude,CLUSTER
202404,DESA ASEM PAYUNG,213,1327800,1,-7.24917,112.75083,3
202404,GALAXY BUMI PERMAI,58,324000,2,-7.2987992,112.7836905,0
202404,GEBANG,309,3788500,1,-7.2810659,112.7878501,1
202404,GEBANG KIDUL,6006,23515800,148,-7.2826702,112.7873836,0
202404,GEBANG KIDUL MAWAR,10,42000,1,-7.279833,112.796322,1
202404,GEBANG KIDUL SEPUHAN,466,1835800,18,-7.279833,112.796322,1
202404,GEBANG LOR,7041,26978050,175,-7.2812459,112.7874998,0
202404,GEBANG LOR KANOMAN,812,2053750,25,-7.279833,112.796322,1
202404,GEBANG LOR LENGKONG,50,24000,2,-7.279833,112.796322,1
202404,GEBANG LOR MAWAR,0,39000,1,-7.279833,112.796322,1
202404,GEBANG PUTIH,3540,17622100,58,-7.2847232,112.7851756,0
202404,GEBANG PUTIH RODAH,982,3464300,24,-7.279833,112.796322,1
202404,GEBANG RODAH BUNTU,3,0,1,-7.279833,112.796322,1
202404,GEBANG RODAH MAWAR,110,501700,3,-7.279833,112.796322,1
202404,GEBANG RODAH SEKOLAHAN,78,505000,1,-7.279833,112.796322,1
202404,GEBANG WETAN,4416,18173000,137,-7.2821858,112.7889758,0
202404,GEBANG WETAN RODAH SEKOLAHAN,39,186500,2,-7.279833,112.796322,1
202404,ITS.HIDRODINAMIKA/KEJ.PT,6,26000,1,-7.281111,112.794611,1
202404,ITS.ILMU PASTI ALAM,704,3043500,15,-7.281111,112.794611,1
202404,ITS.KEPUTIH,770,6256100,13,-7.2788843,112.7903701,1
202404,ITS.TEHNIK ARSITEKTUR,1535,8195700,30,-7.281111,112.794611,1
202404,ITS.TEHNIK FISIKA,549,2617200,16,-7.281111,112.794611,1
202404,ITS.TEHNIK GEODESI,460,2132600,12,-7.281111,112.794611,1
202404,ITS.TEHNIK HIDRODINAMIKA,3132,13171000,105,-7.281111,112.794611,1
202404,ITS.TEHNIK HIDRONIKA,20,97000,1,-7.281111,112.794611,1
202404,ITS.TEHNIK HUMANIORA,520,2232600,16,-7.281111,112.794611,1
202404,ITS.TEHNIK INDUSTRI,693,3308100,13,-7.281111,112.794611,1
202404,ITS.TEHNIK KELAUTAN,343,1361100,14,-7.281111,112.794611,1
202404,ITS.TEHNIK KOMP,60,48000,1,-7.281111,112.794611,1
202404,ITS.TEHNIK KOMPUTER,7612,32914500,204,-7.281111,112.794611,0
202404,ITS.TEHNIK LINGKUNGAN,773,3660300,17,-7.281111,112.794611,1
202404,ITS.TEHNIK PEMUKIMAN,373,1817800,13,-7.281111,112.794611,1
202404,ITS.TEHNIK PENYEHATAN,503,2321700,14,-7.281111,112.794611,1
202404,ITS.TEHNIK PRANCANGAN,248,938400,6,-7.281111,112.794611,1
202404,ITS.TEHNIK SIPIL,3362,15753200,82,-7.281111,112.794611,1
202404,ITS.TEKNIK INDUSTRI,75,484000,1,-7.2849264,112.7960776,1
202404,KEJAWAN,56,83200,1,-7.2869102,112.8004152,1
202404,KEJAWAN GEBANG,10775,34488750,278,-7.2843409,112.8025697,0
202404,KEJAWAN PUTIH TAMBAK,548,1516650,20,-7.2771141,112.8022547,1
202404,KEPUTIH,127,1325000,3,-7.2987992,112.7836905,0
202404,KEPUTIH TEGAL,12,105600,1,-7.2911063,112.8016511,1
202404,KEPUTIH UTARA,37,166200,1,-7.287331,112.7990127,1
202404,KERTAJAYA INDAH,929,9271300,9,-7.2891374,112.7622277,0
202404,KERTAJAYA INDAH  REGENCY,804,4960000,20,-7.2897291,112.7871392,0
202404,KERTAJAYA INDAH REGENCY,4151,25704000,155,-7.2897291,112.7871392,0
202404,KERTAJAYA INDAH TIMUR,25539,188734700,690,-7.2781217,112.7735354,2
202404,KLAMPIS SACHAROSA,1915,11839900,67,-7.2875191,112.7813849,0
202404,MANYAR KERTOADI,15588,104608100,593,-7.2820425,112.782479,2
202404,MARINA EMAS,1968,12089300,87,-7.2889554,112.802558,1
202404,MARINA EMAS BARAT,6911,39483300,215,-7.2930141,112.8035565,0
202404,MARINA EMAS SELATAN,1291,7774600,43,-7.3073526,112.8011351,0
202404,MARINA EMAS TENGAH,82,479000,6,-7.2931226,112.8055191,1
202404,MARINA EMAS TIMUR,5680,29680300,196,-7.2889554,112.802558,0
202404,MARINA EMAS UTARA,1248,5722700,54,-7.24917,112.75083,3
202404,MULYOREJO BARU TEGAL,6848,31485300,165,-7.2750916,112.7936262,1
202404,MULYOSARI UTARA,3,39000,1,-7.2619975,112.7977758,1
202404,PERUM ITS,341,1632700,4,-7.281111,112.794611,1
202404,RAYA ITS,10853,97462800,3,-7.2757378,112.7927519,0
202404,RODAH,337,1865800,8,-7.279833,112.796322,1
202404,RODAH BUNTU,211,807400,3,-7.279833,112.796322,1
202404,RODAH GEBANG,40,44000,1,-7.279833,112.796322,1
202404,RODAH GEBANG PUTIH,56,106300,4,-7.279833,112.796322,1
202404,RODAH SEKOLAHAN,1203,3541600,42,-7.279833,112.796322,1
202404,TEGAL MULYOREJO,960,4026700,29,-7.2750916,112.7936262,1
202404,TEGAL MULYOREJO BARU,0,17000,1,-7.2750916,112.7936262,1
202405,ARIF RACHMAN HAKIM,7369,91904500,5,-7.288531,112.798155,0
202405,ASEM PAYUNG,9779,26220700,286,-7.2862181,112.7857511,0
202405,BUMI MARINA EMAS,1169,7116000,34,-7.2911441,112.8020775,1
202405,BUMI MARINA EMAS BARAT,700,4928400,18,-7.2930141,112.8035565,1
202405,BUMI MARINA EMAS TIMUR,126,660800,8,-7.2911441,112.8020775,1
202405,DESA ASEM PAYUNG,203,1304800,1,-7.24917,112.75083,3
202405,GALAXY BUMI PERMAI,51,275000,2,-7.2987992,112.7836905,0
202405,GEBANG,301,3688500,1,-7.2810659,112.7878501,1
202405,GEBANG KIDUL,6548,25679400,148,-7.2826702,112.7873836,0
202405,GEBANG KIDUL MAWAR,16,75000,1,-7.279833,112.796322,1
202405,GEBANG KIDUL SEPUHAN,488,1712750,18,-7.279833,112.796322,1
202405,GEBANG LOR,7319,27040450,175,-7.2812459,112.7874998,0
202405,GEBANG LOR KANOMAN,875,2335250,25,-7.279833,112.796322,1
202405,GEBANG LOR LENGKONG,62,41200,2,-7.279833,112.796322,1
202405,GEBANG LOR MAWAR,0,39000,1,-7.279833,112.796322,1
202405,GEBANG PUTIH,3783,18168600,58,-7.2847232,112.7851756,0
202405,GEBANG PUTIH RODAH,1136,4174700,24,-7.279833,112.796322,1
202405,GEBANG RODAH BUNTU,11,600,1,-7.279833,112.796322,1
